year,age,baseline_risk_percent,exercise_risk_percent,baseline_sbp,exercise_sbp,baseline_dbp,exercise_dbp,baseline_bmi,exercise_bmi,baseline_total_chol,exercise_total_chol,baseline_hdl,exercise_hdl,baseline_glucose,exercise_glucose
2026,34,2.03,2.03,120.0,120.0,78.0,78.0,25.0593,25.0593,180.0,180.0,50.0,50.0,92.0,92.0
2027,35,2.13,1.85,117.3,113.1,80.1,80.1,25.4,25.4,183.0,177.1,50.7,52.8,84.6,84.6
2028,36,2.26,1.96,117.0,112.8,81.1,81.1,25.8,25.8,180.9,175.0,51.2,53.3,81.8,81.8
2029,37,2.52,2.18,117.2,113.0,81.2,81.2,26.2,26.2,181.9,176.0,50.4,52.5,80.6,80.6
2030,38,2.73,2.37,117.2,113.0,81.2,81.2,26.4,26.4,181.2,175.3,50.0,52.1,79.3,79.3
2031,39,2.94,2.55,117.0,112.8,80.1,80.1,27.0,27.0,181.8,175.9,50.3,52.4,79.4,79.4
2032,40,3.19,2.77,116.5,112.3,81.1,81.1,27.3,27.3,183.2,177.3,50.0,52.1,79.3,79.3
2033,41,3.23,2.8,114.2,110.0,81.1,81.1,27.4,27.4,183.2,177.3,51.4,53.5,80.2,80.2
2034,42,3.46,2.99,114.1,109.9,81.0,81.0,27.8,27.8,183.2,177.3,51.6,53.7,80.6,80.6
2035,43,3.74,3.24,115.1,110.9,80.9,80.9,28.0,28.0,183.2,177.3,52.1,54.2,80.3,80.3
2036,44,3.93,3.41,115.1,110.9,80.9,80.9,27.9,27.9,182.8,176.9,53.1,55.2,80.3,80.3
2037,45,4.11,3.56,114.8,110.6,81.1,81.1,28.0,28.0,182.2,176.3,53.9,56.0,81.4,81.4
2038,46,4.4,3.82,114.8,110.6,81.2,81.2,28.1,28.1,182.2,176.3,53.7,55.8,81.5,81.5
2039,47,4.69,4.07,114.8,110.6,81.2,81.2,28.2,28.2,182.2,176.3,53.8,55.9,82.5,82.5
2040,48,4.98,4.33,114.8,110.6,81.2,81.2,28.3,28.3,182.2,176.3,53.9,56.0,83.2,83.2
2041,49,5.26,4.57,114.8,110.6,81.2,81.2,28.6,28.6,182.2,176.3,54.3,56.4,83.4,83.4
2042,50,5.59,4.85,114.8,110.6,81.2,81.2,29.0,29.0,182.2,176.3,54.3,56.4,85.5,85.5
2043,51,6.15,5.34,114.6,110.4,80.9,80.9,29.0,29.0,182.2,176.3,51.9,54.0,85.5,85.5
2044,52,6.67,5.79,114.9,110.8,80.5,80.5,29.0,29.0,182.8,176.9,51.1,53.2,82.8,82.8
2045,53,6.78,5.89,114.5,110.3,80.6,80.6,29.0,29.0,182.8,176.9,53.0,55.1,82.4,82.4
2046,54,6.94,6.03,114.5,110.3,80.8,80.8,29.0,29.0,182.2,176.3,54.7,56.8,83.1,83.1
