year,age,baseline_risk_percent,exercise_risk_percent,stop_smoking_risk_percent,combo_risk_percent,baseline_sbp,exercise_sbp,combo_sbp,baseline_dbp,exercise_dbp,combo_dbp,baseline_bmi,exercise_bmi,combo_bmi,baseline_total_chol,exercise_total_chol,combo_total_chol,baseline_hdl,exercise_hdl,combo_hdl
2026,34,5.05,5.05,2.66,2.66,124.0,124.0,124.0,80.0,80.0,80.0,27.732299776136855,27.732299776136855,27.732299776136855,195.0,195.0,195.0,44.0,44.0,44.0
2027,35,4.53,3.95,2.38,2.07,123.0,118.8,118.8,82.5,82.5,82.5,28.1,28.1,28.1,189.6,183.7,183.7,51.8,53.9,53.9
2028,36,4.92,4.29,2.59,2.25,123.6,119.4,119.4,81.6,81.6,81.6,28.3,28.3,28.3,187.1,181.2,181.2,51.6,53.7,53.7
2029,37,5.34,4.66,2.81,2.45,123.4,119.2,119.2,81.0,81.0,81.0,28.8,28.8,28.8,188.3,182.4,182.4,51.8,53.9,53.9
2030,38,5.78,5.04,3.05,2.65,123.7,119.5,119.5,81.0,81.0,81.0,29.2,29.2,29.2,187.4,181.5,181.5,51.8,53.9,53.9
2031,39,6.33,5.53,3.34,2.91,123.7,119.5,119.5,81.0,81.0,81.0,29.6,29.6,29.6,188.4,182.5,182.5,51.3,53.4,53.4
2032,40,6.86,6.0,3.63,3.16,123.7,119.5,119.5,81.1,81.1,81.1,29.6,29.6,29.6,189.4,183.5,183.5,51.3,53.4,53.4
2033,41,7.38,6.45,3.91,3.41,123.7,119.5,119.5,81.1,81.1,81.1,29.6,29.6,29.6,189.4,183.5,183.5,51.3,53.4,53.4
2034,42,7.92,6.93,4.2,3.66,123.7,119.5,119.5,81.1,81.1,81.1,29.6,29.6,29.6,189.4,183.5,183.5,51.3,53.4,53.4
2035,43,8.49,7.42,4.51,3.93,123.7,119.5,119.5,81.1,81.1,81.1,29.6,29.6,29.6,189.4,183.5,183.5,51.3,53.4,53.4
2036,44,9.05,7.92,4.81,4.2,123.7,119.5,119.5,81.1,81.1,81.1,29.3,29.3,29.3,188.9,183.0,183.0,51.3,53.4,53.4
2037,45,9.64,8.43,5.13,4.48,123.6,119.4,119.4,81.1,81.1,81.1,29.5,29.5,29.5,188.9,183.0,183.0,51.4,53.5,53.5
2038,46,10.27,8.99,5.48,4.78,123.6,119.4,119.4,81.1,81.1,81.1,29.5,29.5,29.5,188.9,183.0,183.0,51.4,53.5,53.5
2039,47,10.93,9.57,5.84,5.1,123.6,119.4,119.4,81.1,81.1,81.1,29.5,29.5,29.5,188.9,183.0,183.0,51.4,53.5,53.5
2040,48,11.61,10.18,6.21,5.43,123.6,119.4,119.4,81.1,81.1,81.1,29.5,29.5,29.5,188.9,183.0,183.0,51.4,53.5,53.5
2041,49,12.32,10.8,6.61,5.77,123.6,119.4,119.4,81.1,81.1,81.1,29.5,29.5,29.5,188.9,183.0,183.0,51.4,53.5,53.5
2042,50,13.05,11.45,7.01,6.13,123.6,119.4,119.4,81.1,81.1,81.1,29.5,29.5,29.5,188.9,183.0,183.0,51.4,53.5,53.5
2043,51,13.79,12.1,7.42,6.49,123.5,119.3,119.3,81.1,81.1,81.1,29.5,29.5,29.5,188.9,183.0,183.0,51.4,53.5,53.5
2044,52,14.59,12.82,7.87,6.88,123.6,119.4,119.4,81.1,81.1,81.1,29.5,29.5,29.5,188.9,183.0,183.0,51.4,53.5,53.5
2045,53,15.35,13.49,8.29,7.25,123.6,119.4,119.4,81.1,81.1,81.1,29.5,29.5,29.5,188.9,183.0,183.0,51.6,53.7,53.7
2046,54,16.17,14.22,8.76,7.66,123.6,119.4,119.4,81.0,81.0,81.0,29.5,29.5,29.5,188.9,183.0,183.0,51.6,53.7,53.7
